candidate_id,candidate_name,candidate_email,role,applied_on,cv_tier,invited_on,answers_submitted_on,outcome,outcome_on
C3016,Hai Gia Ly,hai.ly.gia52@example.com,Finance Analyst,2026-07-29,Tier 1,2026-07-31,2026-08-02,withdrew,2026-08-12
C3023,Hoa Thu Tran,hoa.tran.thu91@example.com,Finance Analyst,2026-07-29,Tier 1,2026-08-01,2026-08-02,rejected,2026-08-09
C3013,Trang Kim Vu,trang.vu.kim38@example.com,Finance Analyst,2026-07-30,Tier 2,2026-08-02,2026-08-05,advanced,2026-08-15
C3026,Quang Duc Huynh,quang.huynh.duc83@example.com,Marketing Coordinator,2026-07-30,Tier 2,2026-08-02,2026-08-04,advanced,2026-08-12
C3028,My Gia Do,my.do.gia50@example.com,Sales Executive,2026-07-30,Tier 3,,,not_invited,2026-08-01
C3046,Duc Thu Dang,duc.dang.thu32@example.com,Finance Analyst,2026-07-30,Tier 2,2026-08-01,2026-08-04,rejected,2026-08-18
C3048,Linh Minh Vu,linh.vu.minh21@example.com,Finance Analyst,2026-07-30,Tier 1,2026-08-02,2026-08-03,withdrew,2026-08-11
C3053,An Duc Do,an.do.duc22@example.com,Finance Analyst,2026-07-30,Tier 2,2026-08-02,2026-08-03,rejected,2026-08-13
C3054,Sang Van Nguyen,sang.nguyen.van10@example.com,Customer Success Associate,2026-07-30,Tier 3,,,not_invited,2026-08-01
C3007,Kiet Thi Ngo,kiet.ngo.thi64@example.com,Finance Analyst,2026-07-31,Tier 1,2026-08-02,2026-08-05,withdrew,2026-08-11
C3012,Loan Hoang Nguyen,loan.nguyen.hoang47@example.com,Sales Executive,2026-07-31,Tier 2,2026-08-02,2026-08-04,rejected,2026-08-12
C3015,Ngoc Duc Huynh,ngoc.huynh.duc67@example.com,Finance Analyst,2026-07-31,Tier 3,,,not_invited,2026-08-02
C3029,Giang Bao Ngo,giang.ngo.bao58@example.com,Backend Engineer,2026-07-31,Tier 3,,,not_invited,2026-08-03
C3035,Thanh Kim Bui,thanh.bui.kim82@example.com,Backend Engineer,2026-07-31,Tier 2,2026-08-02,2026-08-05,withdrew,2026-08-10
C3037,Phuong Hoang Vo,phuong.vo.hoang15@example.com,Sales Executive,2026-07-31,Tier 2,2026-08-03,2026-08-06,rejected,2026-08-11
C3040,Thao Minh Nguyen,thao.nguyen.minh63@example.com,Customer Success Associate,2026-07-31,Tier 3,,,not_invited,2026-08-02
C3045,Hieu Kim Truong,hieu.truong.kim10@example.com,Customer Success Associate,2026-07-31,Tier 3,2026-08-01,2026-08-05,rejected,2026-08-16
C3002,Dung Kim Truong,dung.truong.kim70@example.com,Backend Engineer,2026-08-01,Tier 2,2026-08-03,2026-08-07,withdrew,2026-08-10
C3003,Tuan Bao Vo,tuan.vo.bao15@example.com,Finance Analyst,2026-08-01,Tier 3,,,not_invited,2026-08-02
C3006,Duc Minh Ly,duc.ly.minh28@example.com,Marketing Coordinator,2026-08-01,Tier 2,2026-08-04,2026-08-05,advanced,2026-08-12
C3009,Trang Thi Ly,trang.ly.thi39@example.com,Sales Executive,2026-08-01,Tier 1,2026-08-03,2026-08-07,rejected,2026-08-11
C3017,Hoa Gia Tran,hoa.tran.gia59@example.com,Sales Executive,2026-08-01,Tier 2,2026-08-02,2026-08-06,advanced,2026-08-19
C3018,Linh Van Tran,linh.tran.van72@example.com,Backend Engineer,2026-08-01,Tier 1,2026-08-02,2026-08-04,advanced,2026-08-11
C3021,Sang Gia Nguyen,sang.nguyen.gia20@example.com,Finance Analyst,2026-08-01,Tier 2,2026-08-03,2026-08-05,rejected,2026-08-16
C3025,Tam Thi Vo,tam.vo.thi81@example.com,Finance Analyst,2026-08-01,Tier 1,2026-08-03,,no_answers_received,2026-08-09
C3031,Dung Thi Vo,dung.vo.thi76@example.com,Customer Success Associate,2026-08-01,Tier 2,2026-08-03,2026-08-04,rejected,2026-08-12
C3032,Khanh Kim Ngo,khanh.ngo.kim88@example.com,Sales Executive,2026-08-01,Tier 2,2026-08-04,2026-08-08,rejected,2026-08-14
C3036,Ha Duc Huynh,ha.huynh.duc29@example.com,Sales Executive,2026-08-01,Tier 1,2026-08-03,2026-08-04,advanced,2026-08-15
C3038,Dung Hoang Le,dung.le.hoang55@example.com,Customer Success Associate,2026-08-01,Tier 2,2026-08-04,2026-08-06,withdrew,2026-08-10
C3039,Kiet Hoang Dang,kiet.dang.hoang84@example.com,Marketing Coordinator,2026-08-01,Tier 1,2026-08-04,,no_answers_received,2026-08-11
C3042,Loan Ngoc Do,loan.do.ngoc62@example.com,Backend Engineer,2026-08-01,Tier 2,2026-08-04,2026-08-07,rejected,2026-08-18
C3005,Dung Thu Do,dung.do.thu15@example.com,Customer Success Associate,2026-08-02,Tier 1,2026-08-05,2026-08-09,advanced,2026-08-17
C3030,Tam Gia Huynh,tam.huynh.gia93@example.com,Backend Engineer,2026-08-02,Tier 3,,,not_invited,2026-08-05
C3034,Dung Thi Dang,dung.dang.thi82@example.com,Backend Engineer,2026-08-02,Tier 1,2026-08-04,,no_answers_received,2026-08-10
C3050,Hai Bao Phan,hai.phan.bao46@example.com,Sales Executive,2026-08-02,Tier 3,,,not_invited,2026-08-04
C3055,Chi Bao Ngo,chi.ngo.bao79@example.com,Customer Success Associate,2026-08-02,Tier 3,,,not_invited,2026-08-04
C3057,Loan Hoang Bui,loan.bui.hoang89@example.com,Customer Success Associate,2026-08-03,Tier 3,2026-08-06,2026-08-07,rejected,2026-08-16
C3067,Loan Hoang Huynh,loan.huynh.hoang36@example.com,Customer Success Associate,2026-08-03,Tier 1,2026-08-04,2026-08-06,rejected,2026-08-18
C3072,Dung Thu Le,dung.le.thu38@example.com,Backend Engineer,2026-08-03,Tier 2,2026-08-04,2026-08-06,advanced,2026-08-17
C3093,Linh Bao Truong,linh.truong.bao99@example.com,Customer Success Associate,2026-08-03,Tier 2,2026-08-04,2026-08-07,advanced,2026-08-15
C3096,An Bao Huynh,an.huynh.bao26@example.com,Sales Executive,2026-08-03,Tier 1,2026-08-05,2026-08-06,rejected,2026-08-15
C3101,Bao Thu Phan,bao.phan.thu17@example.com,Customer Success Associate,2026-08-03,Tier 2,2026-08-05,,no_answers_received,2026-08-18
C3104,Tam Bao Vu,tam.vu.bao47@example.com,Backend Engineer,2026-08-03,Tier 3,,,not_invited,2026-08-05
C3105,Bao Ngoc Huynh,bao.huynh.ngoc34@example.com,Finance Analyst,2026-08-03,Tier 2,2026-08-06,2026-08-07,withdrew,2026-08-11
C3106,Linh Thu Do,linh.do.thu57@example.com,Marketing Coordinator,2026-08-03,Tier 2,2026-08-05,,no_answers_received,2026-08-18
C3108,Loan Gia Vu,loan.vu.gia86@example.com,Backend Engineer,2026-08-03,Tier 1,2026-08-06,2026-08-10,withdrew,2026-08-16
C3110,Giang Duc Nguyen,giang.nguyen.duc56@example.com,Backend Engineer,2026-08-03,Tier 2,2026-08-06,2026-08-10,withdrew,2026-08-13
C3064,My Hoang Dang,my.dang.hoang81@example.com,Sales Executive,2026-08-04,Tier 2,2026-08-06,2026-08-07,rejected,2026-08-18
C3074,An Hoang Vo,an.vo.hoang51@example.com,Finance Analyst,2026-08-04,Tier 1,2026-08-05,2026-08-08,withdrew,2026-08-18
C3075,Hieu Bao Huynh,hieu.huynh.bao61@example.com,Sales Executive,2026-08-04,Tier 3,,,not_invited,2026-08-07
C3082,Yen Ngoc Do,yen.do.ngoc94@example.com,Marketing Coordinator,2026-08-04,Tier 1,2026-08-07,2026-08-11,rejected,2026-08-17
C3091,Tam Duc Ngo,tam.ngo.duc66@example.com,Sales Executive,2026-08-04,Tier 2,2026-08-07,2026-08-10,rejected,2026-08-22
C3094,Chi Thu Huynh,chi.huynh.thu60@example.com,Marketing Coordinator,2026-08-04,Tier 2,2026-08-07,2026-08-08,advanced,2026-08-19
C3112,Phuc Hoang Huynh,phuc.huynh.hoang81@example.com,Customer Success Associate,2026-08-04,Tier 3,,,not_invited,2026-08-06
C3077,Tuan Minh Truong,tuan.truong.minh98@example.com,Backend Engineer,2026-08-05,Tier 2,2026-08-08,,no_answers_received,2026-08-22
C3081,Duc Gia Vu,duc.vu.gia23@example.com,Finance Analyst,2026-08-05,Tier 3,,,not_invited,2026-08-08
C3083,Quang Van Vo,quang.vo.van70@example.com,Sales Executive,2026-08-05,Tier 2,2026-08-08,2026-08-11,rejected,2026-08-17
C3084,Yen Hoang Le,yen.le.hoang24@example.com,Backend Engineer,2026-08-05,Tier 2,2026-08-06,2026-08-09,withdrew,2026-08-22
C3085,Sang Thu Vo,sang.vo.thu10@example.com,Customer Success Associate,2026-08-05,Tier 3,,,not_invited,2026-08-08
C3086,Ngoc Thu Nguyen,ngoc.nguyen.thu83@example.com,Marketing Coordinator,2026-08-05,Tier 2,2026-08-06,2026-08-07,rejected,2026-08-17
C3089,Hai Minh Phan,hai.phan.minh18@example.com,Sales Executive,2026-08-05,Tier 3,,,not_invited,2026-08-06
C3107,Hoa Thu Le,hoa.le.thu32@example.com,Finance Analyst,2026-08-05,Tier 3,,,not_invited,2026-08-06
C3117,Trang Hoang Nguyen,trang.nguyen.hoang39@example.com,Finance Analyst,2026-08-05,Tier 2,2026-08-07,2026-08-08,withdrew,2026-08-17
C3118,Dung Thi Vu,dung.vu.thi36@example.com,Backend Engineer,2026-08-05,Tier 1,2026-08-07,2026-08-09,rejected,2026-08-19
C3119,Nhi Thi Ngo,nhi.ngo.thi87@example.com,Marketing Coordinator,2026-08-05,Tier 2,2026-08-07,,no_answers_received,2026-08-21
C3066,Khanh Thu Dang,khanh.dang.thu26@example.com,Sales Executive,2026-08-06,Tier 2,2026-08-08,2026-08-12,rejected,2026-08-25
C3076,Trang Thi Vo,trang.vo.thi45@example.com,Finance Analyst,2026-08-06,Tier 2,2026-08-08,2026-08-11,rejected,2026-08-21
C3095,Mai Gia Tran,mai.tran.gia61@example.com,Sales Executive,2026-08-06,Tier 2,2026-08-08,,no_answers_received,2026-08-22
C3099,Hoa Van Vu,hoa.vu.van11@example.com,Finance Analyst,2026-08-06,Tier 2,2026-08-09,2026-08-10,advanced,2026-08-21
C3103,Loan Kim Dang,loan.dang.kim21@example.com,Marketing Coordinator,2026-08-06,Tier 3,,,not_invited,2026-08-08
C3109,Chi Bao Dang,chi.dang.bao69@example.com,Backend Engineer,2026-08-06,Tier 1,2026-08-08,,no_answers_received,2026-08-16
C3059,Duc Minh Pham,duc.pham.minh10@example.com,Marketing Coordinator,2026-08-07,Tier 2,2026-08-09,2026-08-11,rejected,2026-08-26
C3060,Ngoc Minh Hoang,ngoc.hoang.minh99@example.com,Marketing Coordinator,2026-08-07,Tier 1,2026-08-08,2026-08-10,advanced,2026-08-22
C3065,Trang Gia Phan,trang.phan.gia28@example.com,Finance Analyst,2026-08-07,Tier 2,2026-08-08,2026-08-09,rejected,2026-08-15
C3069,Yen Ngoc Ngo,yen.ngo.ngoc30@example.com,Backend Engineer,2026-08-07,Tier 1,2026-08-10,2026-08-11,rejected,2026-08-16
C3071,Bao Duc Truong,bao.truong.duc39@example.com,Marketing Coordinator,2026-08-07,Tier 1,2026-08-10,2026-08-12,advanced,2026-08-22
C3073,Tuan Bao Ly,tuan.ly.bao59@example.com,Customer Success Associate,2026-08-07,Tier 1,2026-08-08,2026-08-11,advanced,2026-08-20
C3087,Giang Duc Vo,giang.vo.duc26@example.com,Sales Executive,2026-08-07,Tier 3,,,not_invited,2026-08-09
C3088,Hai Ngoc Nguyen,hai.nguyen.ngoc42@example.com,Sales Executive,2026-08-07,Tier 2,2026-08-10,2026-08-14,rejected,2026-08-23
C3097,Vy Thu Vo,vy.vo.thu36@example.com,Finance Analyst,2026-08-07,Tier 3,,,not_invited,2026-08-09
C3098,Loan Van Truong,loan.truong.van19@example.com,Finance Analyst,2026-08-07,Tier 3,2026-08-09,2026-08-11,rejected,2026-08-17
C3111,Kiet Duc Le,kiet.le.duc70@example.com,Finance Analyst,2026-08-07,Tier 2,2026-08-08,2026-08-10,withdrew,2026-08-15
C3061,Quang Ngoc Hoang,quang.hoang.ngoc38@example.com,Customer Success Associate,2026-08-08,Tier 3,2026-08-11,2026-08-13,rejected,2026-08-22
C3063,Bao Duc Pham,bao.pham.duc14@example.com,Marketing Coordinator,2026-08-08,Tier 2,2026-08-10,2026-08-13,advanced,2026-08-24
C3079,Hai Ngoc Ngo,hai.ngo.ngoc49@example.com,Marketing Coordinator,2026-08-08,Tier 3,,,not_invited,2026-08-09
C3080,Duc Bao Do,duc.do.bao14@example.com,Marketing Coordinator,2026-08-08,Tier 1,2026-08-10,2026-08-12,advanced,2026-08-23
C3090,Nam Hoang Phan,nam.phan.hoang89@example.com,Backend Engineer,2026-08-08,Tier 2,2026-08-09,2026-08-13,advanced,2026-08-23
C3092,Sang Van Dang,sang.dang.van83@example.com,Sales Executive,2026-08-08,Tier 2,2026-08-11,2026-08-13,advanced,2026-08-22
C3100,Loan Gia Ngo,loan.ngo.gia75@example.com,Marketing Coordinator,2026-08-08,Tier 3,,,not_invited,2026-08-10
C3113,Hieu Minh Do,hieu.do.minh89@example.com,Sales Executive,2026-08-08,Tier 3,,,not_invited,2026-08-09
C3114,Sang Duc Tran,sang.tran.duc51@example.com,Marketing Coordinator,2026-08-08,Tier 3,2026-08-10,2026-08-11,rejected,2026-08-20
C3115,Mai Minh Ly,mai.ly.minh76@example.com,Backend Engineer,2026-08-08,Tier 1,2026-08-10,2026-08-11,withdrew,2026-08-15
C3058,Dung Van Dang,dung.dang.van22@example.com,Backend Engineer,2026-08-09,Tier 1,2026-08-11,2026-08-15,rejected,2026-08-27
C3062,Yen Thu Truong,yen.truong.thu85@example.com,Customer Success Associate,2026-08-09,Tier 2,2026-08-10,,no_answers_received,2026-08-22
C3068,Phuc Hoang Vu,phuc.vu.hoang78@example.com,Backend Engineer,2026-08-09,Tier 3,,,not_invited,2026-08-12
C3070,Thanh Thi Vu,thanh.vu.thi22@example.com,Customer Success Associate,2026-08-09,Tier 2,2026-08-12,2026-08-14,advanced,2026-08-25
C3078,Phuc Minh Do,phuc.do.minh21@example.com,Customer Success Associate,2026-08-09,Tier 1,2026-08-12,2026-08-14,rejected,2026-08-22
C3102,Loan Van Dang,loan.dang.van64@example.com,Customer Success Associate,2026-08-09,Tier 1,2026-08-10,2026-08-12,rejected,2026-08-18
C3116,Ha Van Pham,ha.pham.van15@example.com,Finance Analyst,2026-08-09,Tier 2,2026-08-11,2026-08-12,rejected,2026-08-21
C3125,Yen Minh Do,yen.do.minh62@example.com,Finance Analyst,2026-08-10,Tier 2,2026-08-11,,no_answers_received,2026-08-18
C3135,Giang Ngoc Do,giang.do.ngoc67@example.com,Sales Executive,2026-08-10,Tier 3,2026-08-11,2026-08-15,rejected,2026-08-22
C3141,Thanh Ngoc Vo,thanh.vo.ngoc56@example.com,Customer Success Associate,2026-08-10,Tier 1,2026-08-12,2026-08-14,rejected,2026-08-22
C3145,Hai Van Phan,hai.phan.van96@example.com,Finance Analyst,2026-08-10,Tier 2,2026-08-11,2026-08-13,advanced,2026-08-20
C3161,Chi Bao Hoang,chi.hoang.bao42@example.com,Marketing Coordinator,2026-08-10,Tier 2,2026-08-11,2026-08-14,rejected,2026-08-21
C3123,Trang Minh Huynh,trang.huynh.minh55@example.com,Marketing Coordinator,2026-08-11,Tier 3,,,not_invited,2026-08-13
C3127,Hieu Minh Phan,hieu.phan.minh35@example.com,Finance Analyst,2026-08-11,Tier 2,2026-08-14,2026-08-17,rejected,2026-08-29
C3131,Thao Thu Ngo,thao.ngo.thu37@example.com,Customer Success Associate,2026-08-11,Tier 2,2026-08-14,2026-08-15,rejected,2026-08-24
C3134,Khanh Hoang Hoang,khanh.hoang.hoang27@example.com,Customer Success Associate,2026-08-11,Tier 2,2026-08-14,2026-08-16,rejected,2026-08-27
C3147,Ha Hoang Le,ha.le.hoang68@example.com,Customer Success Associate,2026-08-11,Tier 2,2026-08-12,2026-08-16,advanced,2026-08-29
C3150,Mai Bao Do,mai.do.bao66@example.com,Marketing Coordinator,2026-08-11,Tier 2,2026-08-13,2026-08-16,rejected,2026-08-25
C3168,Tuan Thu Tran,tuan.tran.thu41@example.com,Backend Engineer,2026-08-11,Tier 3,,,not_invited,2026-08-12
C3173,Thao Van Huynh,thao.huynh.van71@example.com,Finance Analyst,2026-08-11,Tier 3,,,not_invited,2026-08-14
C3174,Trang Ngoc Ly,trang.ly.ngoc62@example.com,Sales Executive,2026-08-11,Tier 3,,,not_invited,2026-08-14
C3128,Chi Ngoc Ngo,chi.ngo.ngoc40@example.com,Customer Success Associate,2026-08-12,Tier 1,2026-08-13,2026-08-17,rejected,2026-08-28
C3138,Phuong Van Nguyen,phuong.nguyen.van55@example.com,Sales Executive,2026-08-12,Tier 1,2026-08-14,2026-08-18,rejected,2026-08-30
C3142,Loan Duc Phan,loan.phan.duc53@example.com,Backend Engineer,2026-08-12,Tier 2,2026-08-15,2026-08-19,rejected,2026-08-28
C3152,Bao Bao Vo,bao.vo.bao24@example.com,Backend Engineer,2026-08-12,Tier 2,2026-08-14,2026-08-16,rejected,2026-08-28
C3157,Mai Minh Phan,mai.phan.minh96@example.com,Sales Executive,2026-08-12,Tier 2,2026-08-14,2026-08-17,rejected,2026-08-25
C3158,An Thu Bui,an.bui.thu59@example.com,Marketing Coordinator,2026-08-12,Tier 2,2026-08-14,,no_answers_received,2026-08-21
C3162,Ngoc Hoang Hoang,ngoc.hoang.hoang84@example.com,Sales Executive,2026-08-12,Tier 2,2026-08-15,2026-08-16,rejected,2026-08-23
C3165,Trang Bao Le,trang.le.bao30@example.com,Finance Analyst,2026-08-12,Tier 2,2026-08-14,,no_answers_received,2026-08-20
C3170,Trang Bao Pham,trang.pham.bao27@example.com,Backend Engineer,2026-08-12,Tier 2,2026-08-15,2026-08-19,advanced,2026-08-29
C3136,Vy Bao Huynh,vy.huynh.bao52@example.com,Marketing Coordinator,2026-08-13,Tier 2,2026-08-14,2026-08-15,rejected,2026-08-26
C3143,Hai Gia Truong,hai.truong.gia12@example.com,Customer Success Associate,2026-08-13,Tier 2,2026-08-16,2026-08-20,advanced,2026-08-27
C3151,Chi Hoang Vo,chi.vo.hoang44@example.com,Marketing Coordinator,2026-08-13,Tier 2,2026-08-15,,no_answers_received,2026-08-28
C3155,Yen Gia Ly,yen.ly.gia35@example.com,Marketing Coordinator,2026-08-13,Tier 1,2026-08-15,2026-08-17,advanced,2026-08-23
C3160,My Thi Ly,my.ly.thi64@example.com,Customer Success Associate,2026-08-13,Tier 2,2026-08-15,2026-08-18,rejected,2026-08-25
C3163,Hieu Minh Dang,hieu.dang.minh39@example.com,Finance Analyst,2026-08-13,Tier 1,2026-08-14,2026-08-18,rejected,2026-08-26
C3164,Trang Bao Dang,trang.dang.bao88@example.com,Sales Executive,2026-08-13,Tier 1,2026-08-16,2026-08-19,advanced,2026-08-25
C3166,Thao Duc Truong,thao.truong.duc54@example.com,Customer Success Associate,2026-08-13,Tier 1,2026-08-15,2026-08-17,advanced,2026-08-28
C3171,Nhi Ngoc Phan,nhi.phan.ngoc36@example.com,Finance Analyst,2026-08-13,Tier 2,2026-08-15,,no_answers_received,2026-08-28
C3121,Linh Thu Hoang,linh.hoang.thu50@example.com,Customer Success Associate,2026-08-14,Tier 3,,,not_invited,2026-08-15
C3124,Sang Minh Vo,sang.vo.minh52@example.com,Sales Executive,2026-08-14,Tier 1,2026-08-15,,no_answers_received,2026-08-27
C3132,Ngoc Minh Ngo,ngoc.ngo.minh38@example.com,Marketing Coordinator,2026-08-14,Tier 2,2026-08-17,2026-08-20,advanced,2026-08-30
C3137,Trang Kim Phan,trang.phan.kim53@example.com,Backend Engineer,2026-08-14,Tier 2,2026-08-17,2026-08-19,rejected,2026-08-27
C3140,Nhi Van Dang,nhi.dang.van75@example.com,Sales Executive,2026-08-14,Tier 1,2026-08-15,2026-08-18,advanced,2026-08-30
C3146,Hoa Minh Bui,hoa.bui.minh50@example.com,Backend Engineer,2026-08-14,Tier 1,2026-08-17,2026-08-21,withdrew,2026-08-24
C3153,Linh Van Hoang,linh.hoang.van85@example.com,Backend Engineer,2026-08-14,Tier 2,2026-08-17,2026-08-20,advanced,2026-08-30
C3169,Phuong Van Ly,phuong.ly.van74@example.com,Marketing Coordinator,2026-08-14,Tier 3,,,not_invited,2026-08-15
C3172,Ngoc Minh Bui,ngoc.bui.minh96@example.com,Marketing Coordinator,2026-08-14,Tier 1,2026-08-15,2026-08-19,rejected,2026-08-27
C3129,An Van Tran,an.tran.van75@example.com,Marketing Coordinator,2026-08-15,Tier 1,2026-08-17,2026-08-19,advanced,2026-08-28
C3130,Duc Thi Tran,duc.tran.thi99@example.com,Sales Executive,2026-08-15,Tier 2,2026-08-16,2026-08-18,rejected,2026-08-25
C3144,Khanh Kim Hoang,khanh.hoang.kim98@example.com,Marketing Coordinator,2026-08-15,Tier 1,2026-08-18,2026-08-20,withdrew,2026-08-23
C3149,Vy Thu Le,vy.le.thu70@example.com,Sales Executive,2026-08-15,Tier 1,2026-08-17,2026-08-19,rejected,2026-08-27
C3154,Tam Kim Huynh,tam.huynh.kim73@example.com,Backend Engineer,2026-08-15,Tier 2,2026-08-18,2026-08-21,rejected,2026-08-28
C3120,Tuan Gia Ly,tuan.ly.gia36@example.com,Marketing Coordinator,2026-08-16,Tier 1,2026-08-19,2026-08-22,rejected,2026-09-03
C3122,Sang Duc Vo,sang.vo.duc50@example.com,Finance Analyst,2026-08-16,Tier 2,2026-08-19,2026-08-22,advanced,2026-09-04
C3126,Duc Bao Hoang,duc.hoang.bao65@example.com,Marketing Coordinator,2026-08-16,Tier 1,2026-08-17,2026-08-19,advanced,2026-09-01
C3133,Thanh Gia Do,thanh.do.gia18@example.com,Marketing Coordinator,2026-08-16,Tier 3,,,not_invited,2026-08-17
C3139,Khanh Minh Pham,khanh.pham.minh27@example.com,Finance Analyst,2026-08-16,Tier 1,2026-08-19,2026-08-22,advanced,2026-09-01
C3148,Thao Thu Phan,thao.phan.thu86@example.com,Marketing Coordinator,2026-08-16,Tier 2,2026-08-18,2026-08-20,rejected,2026-08-28
C3156,Thao Gia Vu,thao.vu.gia28@example.com,Marketing Coordinator,2026-08-16,Tier 2,2026-08-19,2026-08-20,advanced,2026-08-29
C3159,Tam Thu Ngo,tam.ngo.thu11@example.com,Marketing Coordinator,2026-08-16,Tier 3,,,not_invited,2026-08-18
C3167,Loan Thi Vo,loan.vo.thi51@example.com,Backend Engineer,2026-08-16,Tier 3,,,not_invited,2026-08-17
C3180,Vy Minh Le,vy.le.minh65@example.com,Backend Engineer,2026-08-17,Tier 3,2026-08-18,2026-08-21,advanced,2026-08-27
C3186,Hai Bao Ngo,hai.ngo.bao95@example.com,Backend Engineer,2026-08-17,Tier 2,2026-08-19,,no_answers_received,2026-08-26
C3190,Kiet Minh Nguyen,kiet.nguyen.minh24@example.com,Finance Analyst,2026-08-17,Tier 3,,,not_invited,2026-08-18
C3193,Dung Minh Ngo,dung.ngo.minh45@example.com,Marketing Coordinator,2026-08-17,Tier 2,2026-08-19,2026-08-23,rejected,2026-08-28
C3203,Trang Gia Le,trang.le.gia30@example.com,Customer Success Associate,2026-08-17,Tier 2,2026-08-18,,no_answers_received,2026-08-30
C3215,Vy Kim Dang,vy.dang.kim17@example.com,Sales Executive,2026-08-17,Tier 3,,,not_invited,2026-08-20
C3217,Nhi Minh Phan,nhi.phan.minh72@example.com,Customer Success Associate,2026-08-17,Tier 2,2026-08-19,2026-08-23,rejected,2026-08-31
C3220,Bao Kim Nguyen,bao.nguyen.kim40@example.com,Sales Executive,2026-08-17,Tier 3,2026-08-20,2026-08-21,rejected,2026-09-02
C3230,Dung Kim Vu,dung.vu.kim66@example.com,Customer Success Associate,2026-08-17,Tier 1,2026-08-20,2026-08-21,rejected,2026-08-28
C3175,Hai Hoang Vo,hai.vo.hoang25@example.com,Backend Engineer,2026-08-18,Tier 1,2026-08-21,,no_answers_received,2026-08-29
C3192,Nam Gia Nguyen,nam.nguyen.gia42@example.com,Customer Success Associate,2026-08-18,Tier 3,,,not_invited,2026-08-19
C3195,Hai Van Tran,hai.tran.van59@example.com,Sales Executive,2026-08-18,Tier 2,2026-08-20,,no_answers_received,2026-08-27
C3200,Phuc Hoang Vo,phuc.vo.hoang74@example.com,Backend Engineer,2026-08-18,Tier 2,2026-08-20,2026-08-21,rejected,2026-08-30
C3206,Dung Duc Le,dung.le.duc16@example.com,Marketing Coordinator,2026-08-18,Tier 2,2026-08-20,,no_answers_received,2026-08-28
C3207,Thanh Thu Ngo,thanh.ngo.thu83@example.com,Sales Executive,2026-08-18,Tier 1,2026-08-21,2026-08-22,withdrew,2026-08-27
